model,domain,regime,method,task_id,reward,termination,duration_sec,benchmark_split,timeout_s,max_steps,source
Qwen3.6-27B,airline,ConflictingView,RAVEL,8,0.0,TIMEOUT,908.5,dev,900,25,ravel_corrected
Qwen3.6-27B,airline,ConflictingView,RAVEL,12,0.0,USER_STOP,244.1,dev,900,25,ravel_corrected
Qwen3.6-27B,airline,ConflictingView,RAVEL,7,0.0,TIMEOUT,1314.2,dev,900,25,ravel_corrected
Qwen3.6-27B,airline,ConflictingView,RAVEL,17,0.0,MAX_STEPS,298.3,dev,900,25,ravel_corrected
Qwen3.6-27B,airline,ConflictingView,RAVEL,22,1.0,USER_STOP,255.9,dev,900,25,ravel_corrected
Qwen3.6-27B,airline,ConflictingView,RAVEL,30,1.0,USER_STOP,197.5,dev,900,25,ravel_corrected
Qwen3.6-27B,airline,ConflictingView,RAVEL,33,1.0,USER_STOP,578.2,dev,900,25,ravel_corrected
Qwen3.6-27B,airline,ConflictingView,RAVEL,32,1.0,USER_STOP,850.1,dev,900,25,ravel_corrected
Qwen3.6-27B,airline,ConflictingView,RAVEL,37,0.0,MAX_STEPS,388.3,dev,900,25,ravel_corrected
Qwen3.6-27B,airline,ConflictingView,RAVEL,44,0.0,MAX_STEPS,758.9,dev,900,25,ravel_corrected
Qwen3.6-27B,airline,Delayed,RAVEL,7,0.0,MAX_STEPS,255.1,dev,900,25,ravel_corrected
Qwen3.6-27B,airline,Delayed,RAVEL,12,1.0,USER_STOP,299.5,dev,900,25,ravel_corrected
Qwen3.6-27B,airline,Delayed,RAVEL,17,0.0,USER_STOP,122.1,dev,900,25,ravel_corrected
Qwen3.6-27B,airline,Delayed,RAVEL,22,0.0,MAX_STEPS,281.2,dev,900,25,ravel_corrected
Qwen3.6-27B,airline,Delayed,RAVEL,8,0.0,TIMEOUT,920.1,dev,900,25,ravel_corrected
Qwen3.6-27B,airline,Delayed,RAVEL,32,0.0,TIMEOUT,3032.5,dev,900,25,ravel_corrected
Qwen3.6-27B,airline,Delayed,RAVEL,30,0.0,USER_STOP,2582.8,dev,900,25,ravel_corrected
Qwen3.6-27B,airline,Delayed,RAVEL,33,0.0,MAX_STEPS,609.6,dev,900,25,ravel_corrected
Qwen3.6-27B,airline,Delayed,RAVEL,37,0.0,USER_STOP,873.5,dev,900,25,ravel_corrected
Qwen3.6-27B,airline,Delayed,RAVEL,44,0.0,MAX_STEPS,372.4,dev,900,25,ravel_corrected
Qwen3.6-27B,airline,FieldMask,RAVEL,7,0.0,MAX_STEPS,353.8,dev,900,25,ravel_corrected
Qwen3.6-27B,airline,FieldMask,RAVEL,12,0.0,USER_STOP,261.0,dev,900,25,ravel_corrected
Qwen3.6-27B,airline,FieldMask,RAVEL,8,0.0,MAX_STEPS,708.2,dev,900,25,ravel_corrected
Qwen3.6-27B,airline,FieldMask,RAVEL,17,0.0,USER_STOP,416.5,dev,900,25,ravel_corrected
Qwen3.6-27B,airline,FieldMask,RAVEL,30,0.0,USER_STOP,281.3,dev,900,25,ravel_corrected
Qwen3.6-27B,airline,FieldMask,RAVEL,22,,INFRASTRUCTURE_ERROR,0,dev,900,25,ravel_corrected
Qwen3.6-27B,airline,FieldMask,RAVEL,32,,INFRASTRUCTURE_ERROR,0,dev,900,25,ravel_corrected
Qwen3.6-27B,airline,FieldMask,RAVEL,33,0.0,TIMEOUT,2094.5,dev,900,25,ravel_corrected
Qwen3.6-27B,airline,FieldMask,RAVEL,37,0.0,TIMEOUT,1968.9,dev,900,25,ravel_corrected
Qwen3.6-27B,airline,FieldMask,RAVEL,44,0.0,MAX_STEPS,367.7,dev,900,25,ravel_corrected
Qwen3.6-27B,airline,FullSync,RAVEL,7,0.0,TIMEOUT,1097.7,dev,900,25,ravel_corrected
Qwen3.6-27B,airline,FullSync,RAVEL,8,0.0,TIMEOUT,1271.4,dev,900,25,ravel_corrected
