task_id,domain,source_file,n_tool_calls_annotated,n_dependency_layers_graph,dependency_graph_path,has_persistent_write,write_tools_found,has_high_risk_write,evaluator_available,c1_min_tool_calls,c2_min_3_dep_layers,c3_has_persistent_write,c4_has_high_risk_write,c5_evaluator_available,included,exclusion_reasons,task_split
39,airline,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/airline/tasks.json,11,11,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/airline_d2481bdcc5a4dd4f.json,True,cancel_reservation|cancel_reservation|cancel_reservation,True,True,True,True,True,True,True,True,,pilot
18,airline,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/airline/tasks.json,5,5,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/airline_819a7abf2a09fd5d.json,True,update_reservation_flights|update_reservation_flights|update_reservation_flights|update_reservation_flights|update_reservation_flights,True,True,True,True,True,True,True,True,,pilot
23,airline,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/airline/tasks.json,4,4,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/airline_f1cae859cfc32ac8.json,True,cancel_reservation|book_reservation|book_reservation|book_reservation,True,True,True,True,True,True,True,True,,pilot
42,airline,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/airline/tasks.json,10,10,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/airline_a996669f2180474f.json,True,cancel_reservation|cancel_reservation,True,True,True,True,True,True,True,True,,pilot
29,airline,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/airline/tasks.json,3,3,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/airline_ad5f56aefd3ff5d7.json,True,cancel_reservation|book_reservation,True,True,True,True,True,True,True,True,,pilot
17,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,6,6,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_5e2a625953461dfe.json,True,modify_pending_order_address,True,True,True,True,True,True,True,True,,pilot
9,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,6,6,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_539fdee9009b9e65.json,True,exchange_delivered_order_items,True,True,True,True,True,True,True,True,,pilot
29,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,6,6,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_c31816de613bffa4.json,True,exchange_delivered_order_items|exchange_delivered_order_items,True,True,True,True,True,True,True,True,,pilot
40,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,4,4,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_0bacc6651f38c1b2.json,True,modify_pending_order_payment,True,True,True,True,True,True,True,True,,pilot
34,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,6,6,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_d72421a6a3cacd58.json,True,modify_pending_order_address,True,True,True,True,True,True,True,True,,pilot
38,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,4,4,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_50078d4007387657.json,True,cancel_pending_order,True,True,True,True,True,True,True,True,,pilot
48,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,6,6,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_ff8fa973d2d48791.json,True,return_delivered_order_items,True,True,True,True,True,True,True,True,,pilot
16,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,9,9,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_adfc49d02922fbec.json,True,cancel_pending_order|cancel_pending_order|return_delivered_order_items,True,True,True,True,True,True,True,True,,pilot
33,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,6,6,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_b350e33a596a3e72.json,True,modify_user_address,True,True,True,True,True,True,True,True,,pilot
64,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,8,8,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_8077cc77288cf6a2.json,True,exchange_delivered_order_items|modify_pending_order_items,True,True,True,True,True,True,True,True,,pilot
