task_id,domain,source_file,n_tool_calls_annotated,n_dependency_layers_graph,dependency_graph_path,has_persistent_write,write_tools_found,has_high_risk_write,evaluator_available,c1_min_tool_calls,c2_min_3_dep_layers,c3_has_persistent_write,c4_has_high_risk_write,c5_evaluator_available,included,exclusion_reasons
0,airline,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/airline/tasks.json,0,0,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/airline_7a95011d0bf3a172.json,False,,False,True,False,False,False,False,True,False,c1_min_tool_calls; c2_min_3_dep_layers; c3_has_persistent_write; c4_has_high_risk_write
1,airline,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/airline/tasks.json,2,2,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/airline_481729b1ddf79cef.json,False,,False,True,False,False,False,False,True,False,c1_min_tool_calls; c2_min_3_dep_layers; c3_has_persistent_write; c4_has_high_risk_write
2,airline,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/airline/tasks.json,3,3,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/airline_b1fa34344bf81a1f.json,False,,False,True,False,True,False,False,True,False,c1_min_tool_calls; c3_has_persistent_write; c4_has_high_risk_write
3,airline,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/airline/tasks.json,2,2,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/airline_0cce58552430eaa4.json,False,,False,True,False,False,False,False,True,False,c1_min_tool_calls; c2_min_3_dep_layers; c3_has_persistent_write; c4_has_high_risk_write
4,airline,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/airline/tasks.json,6,6,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/airline_dbe3c9ea515ac132.json,False,,False,True,False,True,False,False,True,False,c1_min_tool_calls; c3_has_persistent_write; c4_has_high_risk_write
5,airline,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/airline/tasks.json,1,1,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/airline_e288659e6fe23c8e.json,False,,False,True,False,False,False,False,True,False,c1_min_tool_calls; c2_min_3_dep_layers; c3_has_persistent_write; c4_has_high_risk_write
6,airline,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/airline/tasks.json,1,1,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/airline_a7079b0d960c8720.json,False,,False,True,False,False,False,False,True,False,c1_min_tool_calls; c2_min_3_dep_layers; c3_has_persistent_write; c4_has_high_risk_write
9,airline,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/airline/tasks.json,1,1,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/airline_c2e832464ef14533.json,False,,False,True,False,False,False,False,True,False,c1_min_tool_calls; c2_min_3_dep_layers; c3_has_persistent_write; c4_has_high_risk_write
10,airline,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/airline/tasks.json,0,0,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/airline_6e738a777e8c0e3e.json,False,,False,True,False,False,False,False,True,False,c1_min_tool_calls; c2_min_3_dep_layers; c3_has_persistent_write; c4_has_high_risk_write
11,airline,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/airline/tasks.json,1,1,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/airline_b900c78cbf085afc.json,True,update_reservation_flights,True,True,False,False,True,True,True,False,c1_min_tool_calls; c2_min_3_dep_layers
13,airline,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/airline/tasks.json,1,1,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/airline_1844d4c1b5f58e04.json,False,,False,True,False,False,False,False,True,False,c1_min_tool_calls; c2_min_3_dep_layers; c3_has_persistent_write; c4_has_high_risk_write
14,airline,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/airline/tasks.json,2,2,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/airline_f4e5f0375616e440.json,True,cancel_reservation|book_reservation,True,True,False,False,True,True,True,False,c1_min_tool_calls; c2_min_3_dep_layers
15,airline,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/airline/tasks.json,1,1,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/airline_5350cfe5143163b8.json,True,update_reservation_flights,True,True,False,False,True,True,True,False,c1_min_tool_calls; c2_min_3_dep_layers
16,airline,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/airline/tasks.json,1,1,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/airline_e478c25ec0e263bd.json,True,update_reservation_flights,True,True,False,False,True,True,True,False,c1_min_tool_calls; c2_min_3_dep_layers
19,airline,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/airline/tasks.json,1,1,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/airline_3a7ff86e2508fe35.json,True,cancel_reservation,True,True,False,False,True,True,True,False,c1_min_tool_calls; c2_min_3_dep_layers
20,airline,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/airline/tasks.json,1,1,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/airline_878cbb46119d69cd.json,True,book_reservation,True,True,False,False,True,True,True,False,c1_min_tool_calls; c2_min_3_dep_layers
21,airline,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/airline/tasks.json,2,2,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/airline_f7a7a3bbd8caa368.json,True,update_reservation_flights|update_reservation_baggages,True,True,False,False,True,True,True,False,c1_min_tool_calls; c2_min_3_dep_layers
24,airline,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/airline/tasks.json,1,1,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/airline_d96149231bb16e77.json,True,book_reservation,True,True,False,False,True,True,True,False,c1_min_tool_calls; c2_min_3_dep_layers
25,airline,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/airline/tasks.json,1,1,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/airline_fb5441e1808db76b.json,True,book_reservation,True,True,False,False,True,True,True,False,c1_min_tool_calls; c2_min_3_dep_layers
26,airline,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/airline/tasks.json,0,0,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/airline_d3ac4cd4cd125344.json,False,,False,True,False,False,False,False,True,False,c1_min_tool_calls; c2_min_3_dep_layers; c3_has_persistent_write; c4_has_high_risk_write
27,airline,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/airline/tasks.json,1,1,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/airline_4596e1c8f42425f8.json,False,,False,True,False,False,False,False,True,False,c1_min_tool_calls; c2_min_3_dep_layers; c3_has_persistent_write; c4_has_high_risk_write
28,airline,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/airline/tasks.json,0,0,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/airline_70788bc4b46a71d3.json,False,,False,True,False,False,False,False,True,False,c1_min_tool_calls; c2_min_3_dep_layers; c3_has_persistent_write; c4_has_high_risk_write
